request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_49,14042897.34,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,Use 3 installments of IDR 11902106.67 starting 2024-03-18. The verified schedule keeps the IDR 20275700 minimum protected. Financing cost is IDR 1373320.01. Projected minimum balance: IDR 29373400.93.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. The 90-day forecast remains above the INR 99700 minimum balance. Projected minimum balance: INR 154870.06.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. The 90-day forecast remains above the IDR 7811000 minimum balance. Projected minimum balance: IDR 19652740.45.
request_52,21517.31,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Wait until 2024-06-15 and then pay INR 28870 in full. Paying earlier would put the INR 41500 minimum balance at risk.
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,Use 3 installments of USD 589.06 starting 2025-11-21. The verified schedule keeps the USD 2100 minimum protected. Financing cost is USD 67.98. Projected minimum balance: USD 2814.42.
request_54,4167.76,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the ZAR 37000 minimum balance protected.
request_55,132375.00,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,Use 3 installments of INR 75781.33 starting 2026-06-11. The verified schedule keeps the INR 124300 minimum protected. Financing cost is INR 8743.99. Projected minimum balance: INR 180893.67.
request_56,751.58,affordable_with_plan,partial_payment,2025-02-03:751.58|2025-02-15:129.98,2025-02-15,none,Pay USD 751.58 today and USD 129.98 on 2025-02-15. The verified schedule keeps the USD 2100 minimum protected. Projected minimum balance: USD 2100.00.
request_57,14668.81,affordable_later,wait,2026-05-15:61446,2026-05-15,none,Wait until 2026-05-15 and then pay ZAR 61446 in full. Paying earlier would put the ZAR 42700 minimum balance at risk.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. The 90-day forecast remains above the IDR 14433900 minimum balance. Projected minimum balance: IDR 22959370.37.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use 3 installments of INR 48741.33 starting 2025-05-07. The verified schedule keeps the INR 132600 minimum protected. Financing cost is INR 5623.99. Projected minimum balance: INR 334273.64.
request_60,181.30,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Wait until 2026-01-15 and then pay USD 199.89 in full. Paying earlier would put the USD 400 minimum balance at risk.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use 3 installments of ZAR 10074.83 starting 2024-03-17. The verified schedule keeps the ZAR 36700 minimum protected. Financing cost is ZAR 1162.49. Projected minimum balance: ZAR 60941.88.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. The 90-day forecast remains above the USD 1300 minimum balance. Projected minimum balance: USD 2791.26.
request_63,58396.01,affordable_with_plan,partial_payment,2026-07-07:58396.01|2026-09-15:285503.99,2026-09-15,none,Pay INR 58396.01 today and INR 285503.99 on 2026-09-15. The verified schedule keeps the INR 153500 minimum protected. Projected minimum balance: INR 153500.00.
request_64,48067.19,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-15,none,Use 3 installments of INR 22082.67 starting 2024-06-11. The verified schedule keeps the INR 36100 minimum protected. Financing cost is INR 2548.01. Projected minimum balance: INR 62084.52.
request_65,7058.41,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the ZAR 15500 minimum balance protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. The 90-day forecast remains above the INR 80700 minimum balance. Projected minimum balance: INR 158980.23.
request_67,596.52,affordable_later,wait,2024-10-15:2094,2024-10-15,none,Wait until 2024-10-15 and then pay USD 2094 in full. Paying earlier would put the USD 1200 minimum balance at risk.
request_68,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the USD 1500 minimum balance protected.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 today. The 90-day forecast remains above the EUR 700 minimum balance. Projected minimum balance: EUR 828.12.
request_70,59952.21,affordable_later,wait,2025-01-15:243900,2025-01-15,none,Wait until 2025-01-15 and then pay INR 243900 in full. Paying earlier would put the INR 115000 minimum balance at risk.
request_71,2158178.58,not_affordable,not_recommended,none,2025-07-15,none,Do not proceed by the requested deadline. No eligible payment option keeps the IDR 8884800 minimum balance protected.
request_72,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the ZAR 12200 minimum balance protected.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. The 90-day forecast remains above the INR 103200 minimum balance. Projected minimum balance: INR 142451.17.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. The 90-day forecast remains above the ZAR 21900 minimum balance. Projected minimum balance: ZAR 39166.83.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Use 3 installments of ZAR 9800.27 starting 2026-04-09. The verified schedule keeps the ZAR 39000 minimum protected. Financing cost is ZAR 1130.81. Projected minimum balance: ZAR 54455.59.
request_76,1083.03,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the USD 1800 minimum balance protected.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 today. The 90-day forecast remains above the INR 82200 minimum balance. Projected minimum balance: INR 86852.86.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay INR 50200 today. The 90-day forecast remains above the INR 55200 minimum balance. Projected minimum balance: INR 63801.39.
request_79,470.03,not_affordable,not_recommended,none,2024-11-15,none,Do not proceed by the requested deadline. No eligible payment option keeps the EUR 1000 minimum balance protected.
request_80,125410,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 121300 minimum balance protected.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. The 90-day forecast remains above the USD 1600 minimum balance. Projected minimum balance: USD 1958.20.
request_82,532.76,affordable_later,wait,2025-01-15:1405.2,2025-01-15,none,Wait until 2025-01-15 and then pay USD 1405.2 in full. Paying earlier would put the USD 1100 minimum balance at risk.
request_83,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 37800 minimum balance protected.
request_84,32417.32,affordable_later,wait,2026-05-15:95400,2026-05-15,none,Wait until 2026-05-15 and then pay INR 95400 in full. Paying earlier would put the INR 91300 minimum balance at risk.
request_85,1219151.57,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the IDR 6396300 minimum balance protected.
request_86,25341.78,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 84900 minimum balance protected.
request_87,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 185900 minimum balance protected.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,Use 3 installments of ZAR 9045.23 starting 2024-06-14. The verified schedule keeps the ZAR 25800 minimum protected. Financing cost is ZAR 1043.69. Projected minimum balance: ZAR 28714.56.
request_89,10831438.44,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,Use 3 installments of IDR 4768746.67 starting 2025-11-18. The verified schedule keeps the IDR 12534700 minimum protected. Financing cost is IDR 550240.01. Projected minimum balance: IDR 23366138.44.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. The 90-day forecast remains above the ZAR 7600 minimum balance. Projected minimum balance: ZAR 13778.80.
request_91,718.08,affordable_later,wait,2024-10-15:1927.2,2024-10-15,none,Wait until 2024-10-15 and then pay EUR 1927.2 in full. Paying earlier would put the EUR 2100 minimum balance at risk.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. The 90-day forecast remains above the ZAR 28100 minimum balance. Projected minimum balance: ZAR 32540.30.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay USD 1729.2 today. The 90-day forecast remains above the USD 1900 minimum balance. Projected minimum balance: USD 2090.47.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. The 90-day forecast remains above the EUR 600 minimum balance. Projected minimum balance: EUR 802.86.
request_95,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 145500 minimum balance protected.
request_96,59755.77,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 56500 minimum balance protected.
request_97,2910.52,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,Use 3 installments of ZAR 8145.28 starting 2024-03-19. The verified schedule keeps the ZAR 29700 minimum protected. Financing cost is ZAR 939.84. Projected minimum balance: ZAR 32610.52.
request_98,10979.31,affordable_later,wait,2025-08-15:27148,2025-08-15,none,Wait until 2025-08-15 and then pay ZAR 27148 in full. Paying earlier would put the ZAR 30000 minimum balance at risk.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 today. The 90-day forecast remains above the ZAR 49100 minimum balance. Projected minimum balance: ZAR 52768.97.
request_100,29490.98,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Use 3 installments of ZAR 12866.19 starting 2024-06-13. The verified schedule keeps the ZAR 32500 minimum protected. Financing cost is ZAR 1484.57. Projected minimum balance: ZAR 49124.79.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. The 90-day forecast remains above the INR 187400 minimum balance. Projected minimum balance: INR 207764.97.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Use 3 installments of EUR 594.88 starting 2026-04-05. The verified schedule keeps the EUR 900 minimum protected. Financing cost is EUR 68.64. Projected minimum balance: EUR 1192.94.
request_103,21711.66,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 125500 minimum balance protected.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today. The 90-day forecast remains above the ZAR 24700 minimum balance. Projected minimum balance: ZAR 31416.81.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 today. The 90-day forecast remains above the INR 73900 minimum balance. Projected minimum balance: INR 82236.83.
request_106,538.44,affordable_later,wait,2025-01-15:2207.7,2025-01-15,none,Wait until 2025-01-15 and then pay EUR 2207.7 in full. Paying earlier would put the EUR 1200 minimum balance at risk.
request_107,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the EUR 1600 minimum balance protected.
request_108,4690.55,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the ZAR 24100 minimum balance protected.
request_109,777.18,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,Use 3 installments of EUR 645.98 starting 2024-03-18. The verified schedule keeps the EUR 1700 minimum protected. Financing cost is EUR 74.54. Projected minimum balance: EUR 2477.18.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Use 3 installments of ZAR 7748.69 starting 2025-08-06. The verified schedule keeps the ZAR 11200 minimum protected. Financing cost is ZAR 894.07. Projected minimum balance: ZAR 11807.43.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. The 90-day forecast remains above the IDR 23022800 minimum balance. Projected minimum balance: IDR 39637388.11.
request_112,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the EUR 500 minimum balance protected.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Pay INR 36500 today. The 90-day forecast remains above the INR 82300 minimum balance. Projected minimum balance: INR 82517.89.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300 today. The 90-day forecast remains above the INR 113400 minimum balance. Projected minimum balance: INR 129027.34.
request_115,16371.71,affordable_later,wait,2024-10-15:80500,2024-10-15,none,Wait until 2024-10-15 and then pay INR 80500 in full. Paying earlier would put the INR 38800 minimum balance at risk.
request_116,26598.79,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 80300 minimum balance protected.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 today. The 90-day forecast remains above the EUR 1000 minimum balance. Projected minimum balance: EUR 1047.81.
request_118,710.68,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,Use 3 installments of EUR 255.87 starting 2024-12-07. The verified schedule keeps the EUR 600 minimum protected. Financing cost is EUR 29.51. Projected minimum balance: EUR 1054.81.
request_119,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 151200 minimum balance protected.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. The 90-day forecast remains above the IDR 20050300 minimum balance. Projected minimum balance: IDR 21871764.19.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 today. The 90-day forecast remains above the USD 800 minimum balance. Projected minimum balance: USD 955.33.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Use 3 installments of IDR 7126773.33 starting 2025-08-05. The verified schedule keeps the IDR 12588500 minimum protected. Financing cost is IDR 822319.99. Projected minimum balance: IDR 21194024.65.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. The 90-day forecast remains above the IDR 18091200 minimum balance. Projected minimum balance: IDR 32045215.57.
request_124,1476.92,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,Use 3 installments of EUR 1076.12 starting 2024-06-11. The verified schedule keeps the EUR 1600 minimum protected. Financing cost is EUR 124.16. Projected minimum balance: EUR 2000.80.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today. The 90-day forecast remains above the ZAR 11300 minimum balance. Projected minimum balance: ZAR 12380.98.
request_126,90003.49,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 129700 minimum balance protected.
request_127,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the ZAR 41000 minimum balance protected.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. The 90-day forecast remains above the ZAR 42600 minimum balance. Projected minimum balance: ZAR 46477.62.
request_129,146.56,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the USD 800 minimum balance protected.
request_130,563.84,affordable_later,wait,2025-01-15:1978.8,2025-01-15,none,Wait until 2025-01-15 and then pay USD 1978.8 in full. Paying earlier would put the USD 1400 minimum balance at risk.
request_131,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the USD 1100 minimum balance protected.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Pay USD 379.86 today. The 90-day forecast remains above the USD 1100 minimum balance. Projected minimum balance: USD 1120.82.
request_133,217001.70,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the IDR 9986200 minimum balance protected.
request_134,7210010.38,affordable_later,wait,2025-09-15:21831000,2025-09-15,none,Wait until 2025-09-15 and then pay IDR 21831000 in full. Paying earlier would put the IDR 15902500 minimum balance at risk.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.8 today. The 90-day forecast remains above the USD 500 minimum balance. Projected minimum balance: USD 519.79.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Pay USD 560.4 today. The 90-day forecast remains above the USD 1100 minimum balance. Projected minimum balance: USD 1210.64.
request_137,35578.92,affordable_later,wait,2025-12-15:80100,2025-12-15,none,Wait until 2025-12-15 and then pay INR 80100 in full. Paying earlier would put the INR 71800 minimum balance at risk.
request_138,970.27,affordable_with_plan,partial_payment,2026-04-07:970.27|2026-04-15:286.67,2026-04-15,none,Pay EUR 970.27 today and EUR 286.67 on 2026-04-15. The verified schedule keeps the EUR 2300 minimum protected. Projected minimum balance: EUR 2300.00.
request_139,1555.67,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,Use 3 installments of USD 802.88 starting 2024-09-07. The verified schedule keeps the USD 1500 minimum protected. Financing cost is USD 92.64. Projected minimum balance: USD 2252.79.
request_140,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the ZAR 21600 minimum balance protected.
request_141,31906.26,not_affordable,not_recommended,none,2026-03-15,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 67300 minimum balance protected.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Pay USD 1263.6 today. The 90-day forecast remains above the USD 1700 minimum balance. Projected minimum balance: USD 2198.98.
request_143,4455.58,affordable_later,wait,2025-06-15:12584,2025-06-15,none,Wait until 2025-06-15 and then pay ZAR 12584 in full. Paying earlier would put the ZAR 11300 minimum balance at risk.
request_144,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the USD 600 minimum balance protected.
request_145,47057.21,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,Use 3 installments of INR 75365.33 starting 2024-03-20. The verified schedule keeps the INR 155400 minimum protected. Financing cost is INR 8695.99. Projected minimum balance: INR 202457.21.
request_146,25950.16,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 108600 minimum balance protected.
request_147,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the EUR 900 minimum balance protected.
request_148,10386.21,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,Use 3 installments of ZAR 7710.56 starting 2024-06-14. The verified schedule keeps the ZAR 20000 minimum protected. Financing cost is ZAR 889.68. Projected minimum balance: ZAR 22675.65.
request_149,24836.24,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,Use 3 installments of ZAR 12706.03 starting 2025-11-18. The verified schedule keeps the ZAR 42100 minimum protected. Financing cost is ZAR 1466.09. Projected minimum balance: ZAR 65385.87.
request_150,397.74,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,reduce_to:event_13787:24.16,Use 3 installments of EUR 171.98 starting 2026-01-06. The verified schedule keeps the EUR 700 minimum protected. Financing cost is EUR 19.84. Required spending changes: reduce_to:event_13787:24.16. Projected minimum balance: EUR 700.03.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. The 90-day forecast remains above the IDR 31633600 minimum balance. Projected minimum balance: IDR 35163618.05.
request_152,12308.77,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,Use 3 installments of ZAR 4812.43 starting 2025-02-12. The verified schedule keeps the ZAR 11900 minimum protected. Financing cost is ZAR 555.29. Projected minimum balance: ZAR 18601.68.
request_153,258.60,affordable_later,wait,2026-09-15:2830.8,2026-09-15,none,Wait until 2026-09-15 and then pay USD 2830.8 in full. Paying earlier would put the USD 1400 minimum balance at risk.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Use 3 installments of EUR 563.61 starting 2024-12-04. The verified schedule keeps the EUR 1300 minimum protected. Financing cost is EUR 65.03. Projected minimum balance: EUR 2260.82.
request_155,66491.33,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the INR 56300 minimum balance protected.
request_156,11182.27,affordable_later,wait,2026-05-15:43076,2026-05-15,none,Wait until 2026-05-15 and then pay ZAR 43076 in full. Paying earlier would put the ZAR 26900 minimum balance at risk.
request_157,6968905.82,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,Wait until 2024-04-15 and then pay IDR 23503000 in full. Paying earlier would put the IDR 15714100 minimum balance at risk.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Use 3 installments of INR 84101.33 starting 2025-08-07. The verified schedule keeps the INR 131400 minimum protected. Financing cost is INR 9703.99. Projected minimum balance: INR 191613.71.
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 today. The 90-day forecast remains above the ZAR 8700 minimum balance. Projected minimum balance: ZAR 9391.24.
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,Use 3 installments of EUR 432.05 starting 2024-06-13. The verified schedule keeps the EUR 1200 minimum protected. Financing cost is EUR 49.85. Projected minimum balance: EUR 1411.56.
request_161,0,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the IDR 23010400 minimum balance protected.
request_162,4388137.84,not_affordable,not_recommended,none,,none,Do not proceed by the requested deadline. No eligible payment option keeps the IDR 24161100 minimum balance protected.
request_163,13118836.65,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,Use 3 installments of IDR 6692053.33 starting 2024-09-10. The verified schedule keeps the IDR 26728700 minimum protected. Financing cost is IDR 772159.99. Projected minimum balance: IDR 33155483.32.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Use 3 installments of IDR 9366240 starting 2025-02-11. The verified schedule keeps the IDR 29550500 minimum protected. Financing cost is IDR 1080720. Projected minimum balance: IDR 52391696.96.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. The 90-day forecast remains above the INR 95000 minimum balance. Projected minimum balance: INR 148071.52.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Use 3 installments of USD 1007.97 starting 2024-12-03. The verified schedule keeps the USD 1700 minimum protected. Financing cost is USD 116.31. Projected minimum balance: USD 3303.03.
